Name,Width,Height,Depth,Artist,Country,Price,Category
Vincent at the Japanese baths - Limited Edition of 1,59.9,59.9,2.5,de Miramon alice,France,$500,Digitals
The Waves within The Waves #15,200,100,4,Carla Sa Fernandes,Portugal,"$1,370",Digitals
Fire ,60,70,2.5,Anne Greece,France,$600,Digitals
Hidden Vincent #1,50,50,0.3,Astrid Stoeppel,Germany,$550,Digitals
the dark eden 2,83,120,5,yossi kotler,Israel,"$5,340",Digitals
Nuances XL,120,160,4,Carla Sa Fernandes,Portugal,"$1,320",Digitals
Values ​​of Variables,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Nuances XIII,60,60,4,Carla Sa Fernandes,Portugal,$500,Digitals
Nuances XV,80,120,4,Carla Sa Fernandes,Portugal,"$1,150",Digitals
The Other Avatars  Vincent #2492,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
Arborescence I,119.9,168.9,7.1,Anne Gracia,France,"$2,460",Digitals
Aspects of Different Types,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
ARBO IV,85.1,119.9,5.1,Anne Gracia,France,"$1,560",Digitals
The Skull in Oporto (Vincent #550),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
Vincent goes Pop V - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
Quarantena No 202,59.4,84.1,1,Steve Kalinda,United Kingdom,$710,Digitals
Unpredictable Factors,43.2,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
DILUTION  II,119.9,144,2,Anne Gracia,France,"$2,710",Digitals
Dead Vincent #3,30,30,0.3,Astrid Stoeppel,Germany,$750,Digitals
Shades of Azul 225,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Nuances LV,120,100,4,Carla Sa Fernandes,Portugal,"$1,440",Digitals
ARBO V,85.1,119.9,5.1,Anne Gracia,France,"$1,560",Digitals
Finished Result,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent goes Pop X - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
Visual Thoughts - Limited Edition of 1,43.2,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent #356,20.3,20.3,0.3,Carlos Bruscianelli,United States,"$1,080",Digitals
Vincent #633,20.3,20.3,0.3,Carlos Bruscianelli,United States,"$1,080",Digitals
The Result - Limited Edition of 1,40.6,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent goes Pop VI - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
The Skull with Fruit (Vincent #2026),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
Embedded Work - Limited Edition of 1,50.8,63.5,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Nuances L,120,120,4,Carla Sa Fernandes,Portugal,"$1,010",Digitals
SUITE ECHO IV,33,45.7,4.1,Anne Gracia,France,"$1,010",Digitals
Nuances XXXII - Limited Edition of 1,120,120,4,Carla Sa Fernandes,Portugal,"$1,730",Digitals
Vincent van Gogh 2,40,40,0.1,OSCAR ALVAREZ,Spain,$790,Digitals
Vincent #1491 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Parched earth II,39.9,42.4,5.1,Anne Gracia,France,"$1,610",Digitals
The Spot,70,50,0.1,Mr STRANGE Jean-Marie GITARD,France,$340,Digitals
Considered Process,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Nuances XXIV - Limited Edition of 3,100,100,4,Carla Sa Fernandes,Portugal,$750,Digitals
ORIGINAL EARTH III,50,91.9,4.1,Anne Gracia,France,"$1,810",Digitals
Limited edition of Purple rain - Limited Edition of 10,25.4,25.4,0.3,de Miramon alice,France,$250,Digitals
The Skull Jumping into Hyperspace (Vincent #1118),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
ULTRAMARINE,104.9,150.1,5.1,Anne Gracia,France,"$3,450",Digitals
The Other Avatars Vincent #858,30,30,2,Karenina Fabrizzi,Spain,$370,Digitals
Nuances XXXIII,100,100,4,Carla Sa Fernandes,Portugal,"$1,250",Digitals
Nuances III,80,80,4,Carla Sa Fernandes,Portugal,$500,Digitals
GGLUC: Generative Graphic Layers wt Unequal Changes,40.6,40.6,0.3,Rachelmauricio Castro,Brazil,$690,Digitals
Circle No.85,110,110,2,Milan Terzic,Serbia,"$2,628",Digitals
The Other Avatars Vincent #2285,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
ARBO I,93,119.9,5.1,Anne Gracia,France,"$1,560",Digitals
SUITE ECHO 1,33,45.7,4.1,Anne Gracia,France,"$1,010",Digitals
Standard Approach,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Audrey Hepburn as Ariane Farrell,147.3,147.3,2.5,Agent X,Canada,"$3,460",Digitals
The Skull with Sunflowers (Vincent #276),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
Nuances XVIII - Limited Edition of 3,100,100,4,Carla Sa Fernandes,Portugal,$750,Digitals
First Dance,121.9,121.9,3.8,Irina Gretchanaia,Canada,"$1,330",Digitals
The Skull and the Matrix (Vincent #80),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
Linear underwater-scape,152.4,76.2,0.3,Sumit Mehndiratta,India,$860,Digitals
Leaving God Behind - Limited Edition of 3,121.9,121.9,0.3,Donald Okudu,Nigeria,"$3,770",Digitals
Dead Vincent #1,40,40,0.3,Astrid Stoeppel,Germany,$750,Digitals
Nuances XVII - Limited Edition of 25,60,60,4,Carla Sa Fernandes,Portugal,$385,Digitals
JR93-Geometric-abstract-4220,45,60,0.1,Norka Ocopio,Spain,"$1,062",Digitals
Sequentially Similar,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent van Gogh 7,40,40,0.1,OSCAR ALVAREZ,Spain,$790,Digitals
Vincent goes Pop II - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
ARBO III,93,119.9,5.1,Anne Gracia,France,"$1,560",Digitals
(Amy) You know Love Is,147.3,147.3,2.5,Agent X,Canada,"$3,460",Digitals
Data’s natural source,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent #377 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Nuances LIX,100,100,4,Carla Sa Fernandes,Portugal,$715,Digitals
Relax Kitty Style,37,27.5,0.1,Soo Beng Lim,Australia,$590,Digitals
Write your Story X - 1/30(Signed and Numbered by Hand),100,75,4,Juca Máximo,Brazil,$840,Digitals
Scent of Austin 09092022P,53.3,76.2,0.3,Ziesook You,United States,$695,Digitals
Desired Product,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent #1082 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Nuances XIX - Limited Edition of 7,90,90,4,Carla Sa Fernandes,Portugal,$610,Digitals
Abstraction#30,50,70,1,Igor Vitomirov,Sweden,"$1,660",Digitals
Vincent van Gogh 9,40,40,0.1,OSCAR ALVAREZ,Spain,$790,Digitals
Nuances VI,100,100,4,Carla Sa Fernandes,Portugal,$715,Digitals
Shades of Azul 103,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
"Each Pixel, Each Line - Limited Edition of 1",50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
What to Do If You Win the Lottery,49,33,0.2,Luka Tripkovic,Serbia,$920,Digitals
The Skull in Lisbon (Vincent #735),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
Regular Systems,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
The Other Avatars Vincent #943,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
The Other Avatars  Vincent #1227,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
Nuances II,90,90,4,Carla Sa Fernandes,Portugal,$600,Digitals
Drawing Actions - Limited Edition of 1,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$690,Digitals
Summer,40,50,1,Jb Ols,France,"$1,630",Digitals
Rules-based Systems,50.8,53.3,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
bloom 2 - Limited Edition of 10,70,100,0.1,Martina Niederhauser-Landtwing,Switzerland,$900,Digitals
The OtherAvatars Vincent #689,30,30,2,Karenina Fabrizzi,Spain,$370,Digitals
The Skull and the Sun (Vincent #2196),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
Nuances XLIII,152.5,121.9,4,Carla Sa Fernandes,Portugal,"$2,160",Digitals
Write V - Infogravure 2/30(Signed and Numbered by Hand),75,100,4,Juca Máximo,Brazil,$840,Digitals
Nuances XXVIII,121.9,152.5,4,Carla Sa Fernandes,Portugal,"$1,250",Digitals
Shades of Azul 138,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Sophisticated Form - Limited Edition of 1,53.3,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent in the sky with diamonds - Limited Edition of 1,59.9,59.9,2.5,de Miramon alice,France,$500,Digitals
The Waves within The Waves #2,200,100,4,Carla Sa Fernandes,Portugal,"$1,370",Digitals
NUAGES,100.1,130,4.1,Anne Gracia,France,"$1,810",Digitals
quantum_random,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Technical Language,53.3,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Booster Randomness System,71.1,55.9,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Parched earth I -,39.9,42.4,0.5,Anne Gracia,France,"$1,610",Digitals
Nuances XLIV,120,120,4,Carla Sa Fernandes,Portugal,"$1,730",Digitals
Write V - Infogravure 1/30(Signed and Numbered by Hand),150,100,4,Juca Máximo,Brazil,"$1,770",Digitals
Vincent van Gogh 5,40,40,0.1,OSCAR ALVAREZ,Spain,$790,Digitals
The Other Avatars Vincent #1032,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
