Name,Width,Height,Depth,Artist Name,Country,Price,Category
"""Untitled landscape"" (no.8 in the series 'Places and Spaces')",21.1,29.7,0.1,Dominique Vangilbergen,Germany,$890,Drawings
Fluidity,21,29,0.1,Frederic Belaubre,France,$150,Drawings
Figure Sketch No. 9,50.2,38.7,0.3,Elizabeth Becker,United States,$395,Drawings
The portrait,24,32,0.1,Frederic Belaubre,France,$150,Drawings
The Gelatines IV,30,38,0.3,Blandine Bardeau,United Kingdom,$370,Drawings
denim lover,25,35,0.2,LOUI JOVER,Australia,$450,Drawings
The Slap (or Caress?),21,23,0.1,Astrid Oudheusden,Netherlands,$370,Drawings
"ACH TATSÄCHLICH, 2010, mixed media on paper, 29,7x21cm",21,30,1,Marc Jung,Germany,"$1,140",Drawings
Clairvoyant I,55.9,76.2,0.3,Arturo Samaniego,United States,"$3,010",Drawings
JD,76.2,116.8,2.5,Yuriy Ibragimov,United States,"$5,550",Drawings
Common Ground.,94.5,88.5,0.1,Nigel Bird,United Kingdom,"$2,260",Drawings
Cooling Waves 2018,29.7,21,0.1,Marijah Bac Cam,France,$325,Drawings
Landscape From Dobrudzha,42,30,1,Ilian Savkov,Bulgaria,"$1,140",Drawings
"Sgraffito 1383 ""HOMAGE TO MAX ERNST""",70,100,0.1,Michael Lentz,Germany,$920,Drawings
Blue undergrowth part I,50,70,0.1,Karenina Fabrizzi,Spain,"$1,040",Drawings
Orange Dreams 2.,21,29,0.1,Frederic Belaubre,France,$150,Drawings
Simply fox,76,56,0.1,Olga Gál,,$480,Drawings
"White Series: Orchid, Clock and Phone",55.9,76.2,0.3,Michael Pfleghaar,United States,"$1,080",Drawings
#090918 a,27.9,35.6,0.3,Mikhail Gubin,United States,$270,Drawings
Dreams and reality,76,56,0.1,Olga Gál,,$480,Drawings
soft structures no 3.,50,50,2,Gyula Sági,Germany,$710,Drawings
Fulcrum II (study),63,91,0.1,Zil Hoque,United Kingdom,$440,Drawings
Paisaje Ideal No. 171 (100 x 70 cm),70,100,0.1,Michael Lentz,Germany,$520,Drawings
The Circus That Was Mine,42,29.7,0.1,Davide Cambria,Italy,$270,Drawings
The Garden Sketch 4,21,29,0.1,Frederic Belaubre,France,$150,Drawings
ETN2,21,21,0.1,Paco Vila  Guillén,Spain,$200,Drawings
"Construction In Red, Blue & Yellow",63,45,3.5,Karin Hay White,United Kingdom,"$1,120",Drawings
Where Nobody Knows (red chalk),40,53,0.1,Patrick Palmer,United Kingdom,"$1,530",Drawings
Lover couple 0809,21,29.5,0.1,Konrad Biro,Hungary,$150,Drawings
Figurative Landscape III,96.5,71.1,0.3,Heidi Lanino,United States,"$3,210",Drawings
Dance,61,45.7,0.3,Robert Schmid,United States,$665,Drawings
In Wonder,58.4,81.3,0.3,Lee Boyd,United Kingdom,"$2,230",Drawings
Céleste VI,28.4,38.1,3,Blandine Bardeau,United Kingdom,$355,Drawings
Angel,21,30,0.1,Konrad Biro,Hungary,$200,Drawings
Transformation,90,90,2,muriel napoli,France,"$3,210",Drawings
Hommage à Leonor Fini X,25.5,40.5,0.1,Ute Rathmann,Germany,$760,Drawings
Uncertainty 11,21,29,0.1,Frederic Belaubre,France,$160,Drawings
Dike Life,20,20,3.5,Gabriele Maurus,Canada,$220,Drawings
Tell Me Again,22.9,30.5,0.3,Cindy Press,United States,$445,Drawings
Decreasing the distance 1,29,21,0.1,Frederic Belaubre,France,$150,Drawings
Spring,56,76,0.1,Mister Artsy Graffiti Street Art Amsterdam,Netherlands,$430,Drawings
At Ray's Bar,22,28.3,0.1,Mary Cinque,Italy,$200,Drawings
Nude II,30.5,40.4,0.3,Jelena Djokic,Serbia,$197,Drawings
W2067,26.7,38.1,0.3,David Jones,United Kingdom,$325,Drawings
Back to the 90s. Назад в 90-е,50,65,0.1,Victoria Golovina,Netherlands,$760,Drawings
waikiki,76,120,1,LOUI JOVER,Australia,"$1,750",Drawings
