Name,Width,Height,Depth,Painter,Country,Price,Category
Shielded #14,149.4,68.3,0.3,Rodrigue Semabia,United States,"$1,319",Paintings
Save our oceans no. 6021,100,100,2,Anita Kaufmann,Germany,"$1,910",Paintings
Gold flower.,50,60,0.1,Eduard Zentsik,Estonia,"$2,970",Paintings
As we’re moving on,200,70,4,Manuela Karin Knaut,Germany,"$3,870",Paintings
"""NO""",89,116,2,Marie-José Domenjoz,France,"$1,410",Paintings
Eating the Censor,193,185.4,5.1,Matthew Dibble,United States,"$7,400",Paintings
Liquid Industrial 3,40.6,40.6,2.5,Hilary Winfield,United States,$140,Paintings
Mtskheta,50,40,2,Ivan Onnellinen,Latvia,$650,Paintings
Rencontre (Meeting),75,50,1.5,Jean-Philippe Brunaud,France,"$1,880",Paintings
Hedgerow,45.7,61,0.6,Nancy Bossert,United States,$665,Paintings
Equine Nude 15a,48,36,0.1,Benedicte Gele,France,$630,Paintings
Artemisia californica,45.7,44.5,1.3,Greg Holden Regan,United States,"$1,080",Paintings
Rhizomatic Red,100,100,4,Sara Willett,United Kingdom,"$3,280",Paintings
"Fish Tail, or, Remainder of Lent",54,73,2,Frederic Belaubre,France,$590,Paintings
Mondriaan in the polder,30,30,2,Nelly van Nieuwenhuijzen,Netherlands,$320,Paintings
09.28.22,182.9,91.4,3.8,Todd Mires,United States,"$1,510",Paintings
Trees And Field 220531,40.6,30.5,0.3,Don Bishop,United States,$545,Paintings
COMMISSION-XL Audrey Hepburn Original Painting on Glass,118,118,4,VeeBee VeeBee,United Kingdom,"$14,750",Paintings
Nude01 [GreyBkg],70,90,1,Khalid Khan - KAAY,United Kingdom,"$3,500",Paintings
681 De loin,80,80,5,Félix Hemme,France,"$2,510",Paintings
Unchartered Territory 3,40.6,55.9,0.3,Laura Spring,United States,$240,Paintings
Chiffon blue,40,50,1,Chiara Elisa Ragghianti,Italy,"$1,140",Paintings
Nude No. 48,30.5,22.9,0.3,Elizabeth Becker,United States,$235,Paintings
Raquel,50,70,1.6,A Weyer,Germany,"$3,990",Paintings
Lineas Onduladas en Rojo,120,120,3,Alberto Gonzalez Vivo,Argentina,"$5,050",Paintings
Dovetail,61,76.2,3.8,Patty Jo Beaton,Canada,$835,Paintings
02.02.22,182.9,91.4,3.8,Todd Mires,United States,"$1,310",Paintings
Still the water,42,42,0.3,Marco Ortolan,Argentina,$860,Paintings
Landscape 600,110,110,0.7,George Antoni,United Kingdom,"$2,800",Paintings
Jurassic Park 02,61,61,3.8,Yeachin Tsai,United States,"$1,800",Paintings
In the REALM of the SNAKE KING,80,80,1.5,Anna Schueler,Germany,"$1,800",Paintings
Red balls,120,120,5,Patricia Derks,Netherlands,"$3,700",Paintings
Museum Shop Sunflowers Fridge Magnet,60,60,5,Peter Vahlefeld,Germany,"$3,870",Paintings
"rain, dry",91,116.7,2.5,Naomi Yuki,Japan,"$4,600",Paintings
Desert Sunset,15.2,15.2,3.8,Lisa Elley,United States,$300,Paintings
Ghost Grey - Limited Edition 1 of 1,51,63.4,0.2,Simon Antony Wilson,Portugal,"$2,885",Paintings
Desolate,38.1,55.9,0.3,Elizabeth Becker,United States,$615,Paintings
Tainted Century,213.4,198.1,5.1,Matthew Dibble,United States,"$8,900",Paintings
Orange Tears,60,200,3,juan jose garay,Spain,"$4,270",Paintings
Imaginary friend,100,72,3,Leo Katunaric KADELE,Croatia,"$7,550",Paintings
Musika,152.4,91.4,3.8,Pierre Bellemare,Canada,"$4,050",Paintings
Untitled 01,85,90,1,Khalid Khan - KAAY,United Kingdom,"$4,000",Paintings
No. 415,140,100,4,Vera Komnig,Germany,"$7,500",Paintings
Louise my niece,130,195,1,Thomas Saliot,France,"$7,450",Paintings
Memory on a Blank Slate,70,50,3,Stefan Fiedorowicz,Austria,"$1,860",Paintings
Snowmen # 8,41,29.5,0.2,Alice Brasser,Netherlands,$810,Paintings
"""Night of the shooting stars""",61,61,3.8,karen clark,United States,"$1,080",Paintings
Grand Canyon Light,101.6,182.9,5.1,Erin Hanson,United States,"$49,750",Paintings
Blue Infinity,140,100,2.5,Cécile van Hanja,Netherlands,"$5,150",Paintings
