Name,Width,Height,Depth,Artist Name,Country,Price,Category
"Be Eggsillant, Large - Limited Edition of 5",96.5,96.5,0.3,Simon McCheung,United Kingdom,"$4,600",Photographs
A Pool for Itoh - Limited edition 2 of 6,150,100,5,Alfonso Batalla,Spain,"$4,450",Photographs
One for each slice - Limited Edition 1 of 10,63,96,0.3,JCT Li,Germany,"$1,360",Photographs
time of butterflies - Limited Edition 2 of 20,40,40,0.1,Kasia Derwinska,Spain,$740,Photographs
Arctic Norway # 2 - Limited Edition of 100,149.9,224.8,0.3,M Tchaikovsky,United Kingdom,"$2,999",Photographs
Portrait 40: Miró. LARGE - Limited Edition of 6,61,81.3,0.3,Roberto Voorbij,Netherlands,$500,Photographs
Mirror Reflections #87,110,110,0.1,Dana and Stephane Maitec,France,"$3,810",Photographs
"Pool Side (29 Palms, CA) - Limited Edition of 10",55.9,55.9,0.3,Stefanie Schneider,United States,"$2,210",Photographs
epinephrine - Limited Edition 2 of 10,70,100,0.1,Federico Bebber,Italy,"$1,350",Photographs
Toronto Glass,50.8,76.2,0.8,Matthew Farrar,United States,"$1,350",Photographs
Vertical Garden 21-004 - Limited Edition of 1,104,224,0.1,Sander Steins,Netherlands,"$5,450",Photographs
Before Sunrise - Limited Edition 2 of 10,152.4,101.6,0.3,Journey Gong,United States,"$1,395",Photographs
Untold White - Limited Edition 1 of 1,79.3,118.9,0.3,Dan Cristian Lavric,Romania,"$2,210",Photographs
Broken,40.6,50.8,0.3,steven irwin,United Kingdom,$490,Photographs
Shaolin Monk - Limited Edition of 300,101.6,76.2,0.3,Cody Choi,United Kingdom,"$1,040",Photographs
"White As Snow, Warm Like Summer - Limited Edition of 1",104,124,0.1,Sander Steins,Netherlands,"$2,610",Photographs
Past and Present - Limited Edition 1 of 10,182.9,91.4,0.3,Lynne Douglas,United Kingdom,$760,Photographs
Dreamin - Open Edition,61,40.6,0.3,Susan McAnany,United States,$290,Photographs
THE LOCKET TREE (LARGE) Limited Edition of 5,118,90,0.1,Miss Aniela,United Kingdom,"$5,150",Photographs
Dancer: Flora #2 - 30 x 20 inch,76.2,50.8,0.3,Cody Choi,United Kingdom,$520,Photographs
Landscape 452,60,40,3,Ebby May,Germany,$980,Photographs
Beach in LA,70,46,0.1,Hélène Vallas Vincent,France,$500,Photographs
The power of memory - Limited Edition of 10,59.9,59.9,0.3,Fares Micue,Spain,$770,Photographs
Paradise of Reflections - Limited Edition of 8,45,45,3,Paul Brouns,Netherlands,"$1,260",Photographs
This Mask Will Sing for You Tomorrow - Limited Edition of 10,80,80,0.5,Michael Vincent Manalo,Taiwan,"$1,360",Photographs
"Time Lapse. Ioannou Paparrigopoulou St., Athens - Limited Edition 3 of 25",50.8,76.2,0.3,Xan Padron,United States,$725,Photographs
Sunset in Chitwan (Large Size) - Limited Edition 1 of 7,132,88,0.1,Viet Ha Tran,Spain,"$1,660",Photographs
Jackson: Edition 4 of 24,91.4,61,0.3,Shawna Ankenbrandt,United States,"$3,360",Photographs
Ellie and the Crab (2007) - Limited Edition of 10 + 2APs,110,82,0.3,Zena Holloway,United Kingdom,"$1,930",Photographs
Red stole n°11,50,50,0.1,Emilie Möri,France,$550,Photographs
Skydive (Vegas) - Limited Edition of 10,59.9,49.8,0.3,Stefanie Schneider,United States,"$2,010",Photographs
Gas station at Night I (Stranger than Paradise) - Limited Edition of 30,36,38,0.3,Stefanie Schneider,United States,$810,Photographs
To the Quick - Limited Edition 1 of 9,50.8,76.2,0.3,Ransom and Mitchell,United States,"$2,120",Photographs
Under (Medium Size) - Limited Edition 4 of 10,50,50,0.1,Tommy Ingberg,Sweden,$520,Photographs
WONDERLAND '17 - Limited Edition 1 of 10,75,100,0.1,Gonçalo Castelo Branco,Portugal,"$1,900",Photographs
ART MOVE VII,140,70,3,Sven Pfrommer,Germany,"$1,700",Photographs
Energy expansion,59.9,78.7,0.3,Fares Micue,Spain,$830,Photographs
Woman in the Mirror (medium) - Limited Edition 1 of 8,74,90,0.1,Vikram Kushwah,United Kingdom,"$1,755",Photographs
Her last Call (The Girl behind the White Picket Fence) - 7 sold - Limited Edition 8 of 10,20,20,0.3,Stefanie Schneider,United States,$430,Photographs
Temple Dogs of Laos No.2 - Limited Edition of 12,120,80,0.5,Serge Horta,Hong Kong,"$1,260",Photographs
At the beach 04 - Limited Edition of 6,70,70,1,Yigal Pardo,Israel,"$1,800",Photographs
Cactus Swim - Limited Edition of 10,101.6,152.4,0.3,Nadia Attura,United Kingdom,"$2,340",Photographs
SL 11 - Limited Edition of 4,100,64,3,mario rossi,,"$2,760",Photographs
Clouds - Limited Edition of 8,100,66,2,Dimitri Bogachuk,Ukraine,"$2,210",Photographs
Nude 1585 - Limited Edition of 10,30,45,0.3,Ebby May,Germany,$560,Photographs
Frangipani Dreaming canvas ready to hang (1) - Limited Edition of 25,90,120,4,Martine Vanderspuy,Australia,"$1,600",Photographs
question mark - Limited Edition 3 of 10,50,50,0.3,Jarosław Datta,Poland,$470,Photographs
"""After I Lost  Myself..."" - Limited special edition of 5",100,100,1,Peter Allert,Germany,"$2,560",Photographs
"""The Pain of Life"" - Limited edition 1 of 20",55,35,1,Peter Allert,Germany,$660,Photographs
Floralys / Limited Edition 2 of 10 on Fine Art Paper,70,96,0.1,JCT Li,Germany,"$1,360",Photographs
The first night 1,100,66,5,Monika Nguyen,Austria,"$1,210",Photographs
GOLDEN GOTHIC (XL) Limited Edition of 3,152,124,0.1,Miss Aniela,United Kingdom,"$9,850",Photographs
"Support , limited 4 of 20",81,110,0.2,Bojan Jevtić,Serbia,"$1,088",Photographs
Caro mio ben,80,80,1,IVONA ZUBAK,Slovakia,"$1,710",Photographs
Fire Escapism I - Limited Edition of 8,85,85,3,Paul Brouns,Netherlands,"$2,970",Photographs
City Skin II,50.8,50.8,0.3,steven irwin,United Kingdom,$490,Photographs
"Abandoned Store, Thermal CA – Edition 4 of 9",101.6,101.6,0.5,Ed Freeman,United States,"$3,210",Photographs
We Will Meet Again No.2 - Limited Edition 1/6,76.2,91.4,0.3,Peter Horvath,Canada,"$3,710",Photographs
FLOW Nine Stones Bec 47 diptych - Limited Edition of 10,202,150,1,Geoff Dunlop,United Kingdom,"$2,950",Photographs
Variations in Orange & Blue - Limited Edition of 8,45,45,0.1,Paul Brouns,Netherlands,$710,Photographs
Dancer: Juan #26 - Limited Edition 10 of 10,101.6,152.4,0.3,Cody Choi,United Kingdom,"$2,490",Photographs
JJCQ7,81.3,121.9,0.3,Doug McIntosh,United States,$815,Photographs
Third Wheel Print On Metal - Limited Edition of 50,61,40.6,2.5,Kelly Nicolaisen,United States,$465,Photographs
the gate limited edition 2 of 6 - Limited Edition of 6,170,110,5,Alfonso Batalla,Spain,"$6,550",Photographs
American seascape - Limited Edition of 10,100.3,110,0.3,Carlos Canet Fortea,Spain,"$2,970",Photographs
Empire,50.8,50.8,0.3,steven irwin,United Kingdom,$380,Photographs
# 121 Abstract Art! - Original....,100.1,100.1,2.5,Igor Bajenov,Germany,"$3,970",Photographs
The Dream Walker; Edition 1 of 10,80,80,0.5,Michael Vincent Manalo,Taiwan,"$1,460",Photographs
Emerald Junction,120,120,3,Paul Brouns,Netherlands,"$3,970",Photographs
THE EMPRESS / Limited Edition of 7,149.9,149.9,0.3,Ysabel LeMay,United States,"$9,600",Photographs
Superhero - Limited Edition of 100,61,40.6,0.3,Kelly Nicolaisen,United States,$195,Photographs
"Breathe, Medium - Limited Edition of 25",96.5,96.5,0.3,Simon McCheung,United Kingdom,"$2,460",Photographs
CameraSelfie #63 - Limited Edition of 10,100,100,0.1,Flynn Newton,Germany,"$1,610",Photographs
Cold Moon - Limited Edition 2 of 10,101.6,152.4,0.3,Journey Gong,United States,"$1,745",Photographs
Bloody Queen - Limited Edition of 25,34.8,50,0.3,Fares Micue,Spain,$560,Photographs
Feathered (Stage of Consciousness) - Limited Edition 1 of 10,24,20,0.1,Stefanie Schneider,United States,$390,Photographs
Once I Was Here.,88.9,58.4,0.3,Dan Cristian Lavric,Romania,"$2,710",Photographs
Emmi & Trish Barytpaper Limited Edition #1,60,80,0.2,Jens Kohlen,Germany,$580,Photographs
BLOOMXBLOOM #20 - Limited Edition of 15,70,70,0.1,Agnieszka Maria Zieba,Germany,$860,Photographs
Flourishing again - Limited Edition 4 of 10,59.9,78.7,0.3,Fares Micue,Spain,$810,Photographs
Metaphors - Limited Edition of 7,97.5,70,1,Svetlana Melik-Nubarova,Kazakhstan,$995,Photographs
Installation 1 - Limited Edition of 20,27.9,35.6,0.3,Stu Sporn,United States,$540,Photographs
Ad Vivum - The Twins - Limited Edition 1 of 3,100,150,0.1,Giuseppe Lo Schiavo,Italy,"$6,950",Photographs
Cotton Candy Universe,182.9,121.9,0.3,Javiera Estrada,United States,"$4,210",Photographs
At Arms - Limited Edition of 15,121.9,81.3,0.3,Drew Doggett,United States,"$5,813",Photographs
The Dunes - Limited Edition of 10,101.6,152.4,0.3,Gregory Prescott,United States,"$3,600",Photographs
Portrait 26: Duchamp. - Limited Edition of 10,30,40,0.3,Roberto Voorbij,Netherlands,$265,Photographs
Untitled. - Limited Edition Print,50.8,76.2,0.3,Brian Oldham,United States,"$1,500",Photographs
water |ˈwôtər; ˈwä-| Edition 7/10,90,90,0.5,Richard Brocken,Netherlands,"$3,170",Photographs
Walking on Shunshine,101.6,152.4,0.3,Journey Gong,United States,"$1,595",Photographs
Fading into Light Blue - Extra Large Panorama,228.6,101.6,0.3,Lynne Douglas,United Kingdom,"$1,880",Photographs
MOTHERSHIP (MEDIUM) Limited Edition of 10,87,59,0.1,Miss Aniela,United Kingdom,"$3,300",Photographs
Take Note - Limited Edition of 100,61,40.6,0.3,Kelly Nicolaisen,United States,$195,Photographs
Singapore Blur V - Limited Edition of 10,120,120,4,Sven Pfrommer,Germany,"$2,060",Photographs
Singapore Blur III - Limited Edition of 10,100,100,3,Sven Pfrommer,Germany,"$1,860",Photographs
Radha Shooting II (Stranger than Paradise) - Limited Edition of 30,37.9,37.9,0.3,Stefanie Schneider,United States,$810,Photographs
"Her Eyes, the Color of the Sky (Till Death do us Part) - Limited Edition of 10",20,20,0.3,Stefanie Schneider,United States,$370,Photographs
Happy Days - Limited Edition 1 of 5,120,120,3,Paul Brouns,Netherlands,"$3,970",Photographs
Faces of Paris Limited Edition 2 of 25,40.6,50.8,2.5,Lauren Leigh Hunter,United States,"$1,200",Photographs
Timeless,120,80,5,Sven Pfrommer,Germany,"$2,120",Photographs
"BCKP9, Edition of 10, Print 2",62,78,1,Micosch Holland,Germany,$590,Photographs
Liwa Oasis # 2,100,66,5,Monika Nguyen,Austria,"$1,210",Photographs
"Time lapse. Christopher Street, West Village, NYC - Limited Edition of 25",61,91.4,0.3,Xan Padron,United States,"$1,420",Photographs
TOKYO NIGHTS II - Limited Edition of 10,120,80,0.1,Sven Pfrommer,Germany,"$2,190",Photographs
Too Late - Small - Limited Edition 6 of 25,50,50,0.1,Flora Borsi,Hungary,"$1,660",Photographs
Blue Venus with no Fur cause no arms - Limited Edition of 25,60,90,0.1,Marlies Plank,Austria,"$1,460",Photographs
"The Remembrances of the Soul, Edition 3 of 10",80,80,0.5,Michael Vincent Manalo,Taiwan,"$1,460",Photographs
buleria,92,90,4,mario rossi,,"$2,670",Photographs
"'Marilyn' part 3, (Heavenly Falls) - Limited Edition of 10",20,20,0.3,Stefanie Schneider,United States,$370,Photographs
untitled - #33,60,60,1,Patrick Gonzales,France,$490,Photographs
Secret Flower - Limited Edition of 5,60,40,1,Tomas Urbelionis,Lithuania,"$1,140",Photographs
Valor - Limited Edition of 15,144.8,96.5,0.3,Drew Doggett,United States,"$9,225",Photographs
Kristin 427 - Limited Edition of 10,45,30,0.3,Ebby May,Germany,$790,Photographs
Thunder - Limited Edition of 15,72.4,91.4,0.3,Drew Doggett,United States,"$3,372",Photographs
Reflections X - Limited Edition of 10,120,80,2,Anna Sidi-Yacoub,Ireland,"$1,710",Photographs
Judith (Suburbia) - Limited Edition of 10,24,20,0.3,Stefanie Schneider,United States,$370,Photographs
Summer Waves - Limited Edition of 10,215.9,152.4,0.3,Lynne Douglas,United Kingdom,"$2,140",Photographs
Entwine - Limited Edition 1 of 10,61,76.2,0.3,Ransom and Mitchell,United States,"$1,600",Photographs
back to the roots - Limited Edition 1 of 10,80,40,1,Kasia Derwinska,Spain,$890,Photographs
Visual Sorbet (No. 1 of 8),70,70,3,Paul Brouns,Netherlands,"$2,610",Photographs
Gothic Grass Cathedral (Limited Edition 4 of 10),100,130,0.3,Anders Hingel,France,"$1,090",Photographs
Current - Limited Edition of 15,40.6,61,0.3,Mallory Morrison,United States,$980,Photographs
Encased - Limited Edition of 10,61,76.2,0.3,Ransom and Mitchell,United States,"$1,600",Photographs
The Newspaper Agent - Limited Edition of 3,63.5,99.1,0.3,Dan Cristian Lavric,Romania,"$2,210",Photographs
There is no Forever (Till Death do us Part) - Limited Edition of 10,119.9,37.9,0.1,Stefanie Schneider,United States,"$1,600",Photographs
Lila and Sam (Stay) with Ewan McGregor and Naomi Watts - Limited Edition of 10,38.1,38.1,0.1,Stefanie Schneider,United States,$715,Photographs
"Reluctance, Medium - Limited Edition of 25",71.1,71.1,0.3,Simon McCheung,United Kingdom,"$2,460",Photographs
Memories of Love (The Girl behind the White Picket Fence) - Limited Edition of 5,127,127,0.3,Stefanie Schneider,United States,"$5,450",Photographs
Kiss from a Rose - Large - Limited Edition of 5,100,100,0.1,Flora Borsi,Hungary,"$5,450",Photographs
"Ash and diamonds IV, Limited edition 2/25",30,30,0.1,Veneta Karamfilova,Bulgaria,$250,Photographs
Chariot of Fire,127,81.3,0.3,Javiera Estrada,United States,"$1,970",Photographs
veil |vāl| II Edition 4/10,150,84,0.5,Richard Brocken,Netherlands,"$2,010",Photographs
"""Light grey ocean"" #3 of 20",91.4,61,2.5,Ieva Baklane,Canada,$710,Photographs
Earth (Going Global) - Limited Edition of 1,32,42,0.1,Sander Steins,Netherlands,$580,Photographs
The Reverend - Limited Edition of 10,100,70,0.1,Guy Sargent,United Kingdom,$895,Photographs
"Randy and I, part 1 (Wastelands) - Limited Edition of 5",50.8,50.8,0.3,Stefanie Schneider,United States,"$1,970",Photographs
Portrait 45: Matisse. - Limited Edition of 10,30,40,0.3,Roberto Voorbij,Netherlands,$265,Photographs
(MUSEUM EDITION) Who painted my dream blue? - Limited Edition of 3,180,120,0.1,Viet Ha Tran,Spain,"$7,550",Photographs
retirement days - Limited Edition 1 of 20,40,40,1,Kasia Derwinska,Spain,$660,Photographs
less is more - Limited Edition 1 of 20,40,40,1,Kasia Derwinska,Spain,$740,Photographs
Black Swallowtail butterfly in yellow. Limited edition,31,25,0.3,Nadia Attura,United Kingdom,$330,Photographs
abstract colorful forest,150,100,1,Igor Vitomirov,Sweden,"$1,360",Photographs
The Legend Of The Pelican - Limited Edition of 2/1AP,225,150,0.7,Cheraine Collette,Netherlands,"$26,000",Photographs
"Time lapse. Medellín, Colombia - Limited Edition of 25",50.8,76.2,0.3,Xan Padron,United States,$725,Photographs
112- La soledad de SER. - Limited Edition of 2/10,40,60,0.1,ACQUA LUNA,Spain,$480,Photographs
(MUSEUM EDITION) Wall of Nature VIII - Limited Edition of 3,158,105,0.1,Viet Ha Tran,Spain,"$7,050",Photographs
"Spare Parts (29 Palms, CA) - Limited Edition 3 of 10",46,48,0.3,Stefanie Schneider,United States,"$1,760",Photographs
Aerial View of a Mediterranean Beach # 3 - Limited Edition  2 of 20,50,50,0.1,Teodora Djordjevic,Serbia,$470,Photographs
I Lived (small) - Limited Edition 1 of 10,60,60,0.1,Michal Zahornacky,Slovakia,$940,Photographs
"Take me to your dreams Ophelia III, Limited Edition 5/7 (Large Edition)",158,105,0.1,Viet Ha Tran,Spain,"$11,000",Photographs
Venus Pool 2: Edition of 24,50.8,40.6,0,Shawna Ankenbrandt,United States,"$2,370",Photographs
"origin - limited edition print, extra-large size",91.4,61,0.3,Elle Hanley,United States,"$1,050",Photographs
Untilted - #59,60,60,1,Patrick Gonzales,France,$490,Photographs
A Secret Understanding,101.6,152.4,0.3,Lynne Douglas,United Kingdom,"$1,680",Photographs
Western Cape - Limited Edition of 90,50.8,50.8,0.3,Nadia Attura,United Kingdom,$570,Photographs
Pellworm 3 - Limited Edition of 10,45,30,0.3,Ebby May,Germany,$560,Photographs
Fading marshes - Limited Edition of 4,120,80,0.1,Jacob Berghoef,Denmark,$860,Photographs
Reserved #01 - Limited Edition of 9,80,80,0.1,Agnieszka Maria Zieba,Germany,$760,Photographs
Geometries - IV - edition of 20,47.5,36,0.1,Claudio Boczon,Brazil,$290,Photographs
CameraSelfie #33 - Large Edition 1 of 10,100,100,0.1,Flynn Newton,Germany,"$1,410",Photographs
Quaaludes for breakfast,70,100,0.1,Federico Bebber,Italy,"$1,410",Photographs
che cosa vedi 3 (limited edition 1 of 10 signed and numbered photographs),40,30,0.1,angelo dorigo,Italy,$999,Photographs
Simultan R/B,47,67,1,Micosch Holland,Germany,$560,Photographs
The Premonition Edition 6 of 10,76.2,76.2,2.5,Michael Vincent Manalo,Taiwan,"$2,010",Photographs
"Autumn Sunset, Isle of Harris",91.4,91.4,0.3,Lynne Douglas,United Kingdom,$990,Photographs
Fly me to the Moon (The Girl behind the White Picket Fence) - Limited Edition of 10,45.7,37.9,0.3,Stefanie Schneider,United States,"$1,800",Photographs
"Spring Bloom, Small - Limited Edition of 50",30.5,35.6,0.3,Simon McCheung,United Kingdom,$630,Photographs
Floaties #4 (Beachshoot) - Limited Edition of 10,20,20,0.3,Stefanie Schneider,United States,$615,Photographs
SWETLANA 2 - Limited Edition of 10,35.6,35.6,0.3,Ebby May,Germany,$790,Photographs
Escape - Limited Edition of 15,50,50,1,Igor Vitomirov,Sweden,$580,Photographs
