Name,Width,Height,Depth,Artist Name,Country,Price,Category
SSB1,58.4,76.2,3.8,Scott Troxel,United States,"$3,410",Sculptures
Convex Mirror in Dark Blue 100 cm Sculpture X Large 3-Dimensional,100,100,10,Anna Sidi-Yacoub,Ireland,"$1,720",Sculptures
"""Trauma #2""",50,51,5,Maxim Fomenko,Germany,"$3,170",Sculptures
Blue Infinity,90,120,3,Anna Sidi-Yacoub,Ireland,"$1,660",Sculptures
An Interaction of Mind and Matter: Part 3,43,43,6,Andy Cumming,United Kingdom,$520,Sculptures
Streamer Head 11,29,51,20,Frans Muhren,Netherlands,"$4,270",Sculptures
Cold field,200,100,5,Nazar Symotiuk,Poland,"$6,040",Sculptures
Bamboo Forest,100,100,40,Ian Turnock,United Kingdom,"$4,340",Sculptures
MEMORIES,18,22,15,Michael James Talbot,United Kingdom,"$5,850",Sculptures
Torus Study#1,40,63,40,Paul Stein,South Africa,"$6,500",Sculptures
Nailed it Series No. 109 Edition 5/7,63.5,91.4,3.6,Sumit Mehndiratta,India,"$1,060",Sculptures
bright star (limited edition of 8),106.7,25.4,7.6,Mary Jo McGonagle,United States,"$2,300",Sculptures
Forward and Backward No.4,289.6,350.5,66,Wenqin Chen,,"$77,535",Sculptures
Moon Aura #07,45.7,61,1.9,Olga Skorokhod,United States,"$1,970",Sculptures
Red cube,100,100,5,Nazar Symotiuk,Poland,"$2,270",Sculptures
Relief with Red Oval,54,64,4,Liam Hennessy,United Kingdom,$835,Sculptures
REGIMA,70,185,85,Stefano Mazzolini,Italy,"$4,410",Sculptures
Paz,57,57,7,Virginia Garcia Costa,Switzerland,"$1,750",Sculptures
Dream Big!,91.4,22.9,7.6,Mary Jo McGonagle,United States,"$2,800",Sculptures
Fair Weather,120,7,12,Paul Stein,South Africa,"$1,900",Sculptures
kissing time - Abstraction #185,100,100,3,Paslier Morgan,France,"$4,210",Sculptures
Abstraction 130 - Corosion 1,100,100,3,Paslier Morgan,France,"$3,910",Sculptures
Family 14,15,23,15,isabel robledo,Spain,$510,Sculptures
Color pressure,100,150,4,Dmytro Shavala,Poland,"$5,450",Sculptures
"""NEXUS 18.01 - Series Archaic/Modern""",62,123,62,Christoph Robausch,Austria,"$7,900",Sculptures
Interactive mobile 0172 position A,88.9,42.9,5,Manuel Izquierdo,Spain,"$2,310",Sculptures
Streamer 50,40,45,40,Frans Muhren,Netherlands,"$5,450",Sculptures
'AMARA' floor standing sculpture,25,165,25,Michael James Talbot,United Kingdom,"$28,250",Sculptures
DISAMBIGUATION,21.7,21.7,7.2,Daniel A du Preez,South Africa,$993,Sculptures
Huichol,33,82,28,Francesca Dalla Benetta,Mexico,"$6,550",Sculptures
Feeling Tropical-5,25.4,25.4,5.1,Swapna Namboodiri,Qatar,$310,Sculptures
Wildwood,66,66,1.2,Ian Turnock,United Kingdom,"$1,490",Sculptures
Platon (ii),48.3,48.3,3.8,Maria Bouquet,Argentina,"$1,770",Sculptures
Grace,48,66,14,Michael James Talbot,United Kingdom,"$26,000",Sculptures
Abstraction #73 Et voilà !,100,100,3,Paslier Morgan,France,"$3,910",Sculptures
Tonka III,63.5,120.7,3.8,Scott Troxel,United States,"$4,210",Sculptures
"Karen Axikyan/Emptiness (26x16x16 3.9kg iron, basalt)",16,26,16,Narinart Armgallery,Armenia,"$1,560",Sculptures
Abstract sculpture [Ceramics 015],26,20,2,Koen Lybaert,Belgium,$950,Sculptures
Mint,61,91.4,2.5,Scott Troxel,United States,"$3,410",Sculptures
MARIPOSA,14,50,11,Francesca Dalla Benetta,Mexico,"$2,460",Sculptures
White Opal - 01,61,76.2,2.5,Olga Skorokhod,United States,"$2,670",Sculptures
Interdependence,63.5,106.7,3.8,Valerie Wilcox,United States,"$4,210",Sculptures
"Les petits champions... ""THE SMALL CHAMPIONS..."" (WHITE & GREY)",15,28,15,Olivier Messas,Germany,"$2,970",Sculptures
Coloured stream (limited edition 2/5),100,100,4,Dmytro Shavala,Poland,"$2,900",Sculptures
Relax,81.3,33,7.6,Mary Jo McGonagle,United States,"$2,800",Sculptures
cubo palimpsesto,40,40,40,Margarita Garces,Chile,"$3,270",Sculptures
Monochrome field,90,95,5,Nazar Symotiuk,Poland,"$3,270",Sculptures
Conch 9,11,8,7,Sharon Brill,Israel,$850,Sculptures
Stowaway 3,14.5,24,1,Susan Laughton,United Kingdom,$510,Sculptures
Gold Sounds,20,19,1.8,Dirk Kruithof,Australia,$232,Sculptures
Hope,81.3,40.6,7.6,Mary Jo McGonagle,United States,"$2,200",Sculptures
Glow,62,100,4,Anna Sidi-Yacoub,Ireland,"$1,160",Sculptures
Interactive mobile 0214 position A,82,107.7,3.5,Manuel Izquierdo,Spain,"$3,450",Sculptures
Cosmopolitan (viii),81.3,121.9,6.3,Maria Bouquet,Argentina,"$5,800",Sculptures
Moon Aura #06,45.7,61,1.9,Olga Skorokhod,United States,"$1,970",Sculptures
“ The Long Long Road ”,57.5,41.5,22,Jiahui Wu,China,"$13,400",Sculptures
FUTUE TE IPSUM!,70,170,45,Marco Battaglini,Costa Rica,"$74,000",Sculptures
Geebung to Brendale,120,50,7,James Watts,Australia,"$2,700",Sculptures
Tensor,114.3,165.1,3.3,Scott Troxel,United States,"$4,949",Sculptures
Metastases,300,100,5,Nazar Symotiuk,Poland,"$4,450",Sculptures
Three Scribbles Horizontal (Pink) - Wall Sculpture,139.7,119.4,1.3,Ryan Coleman,United States,"$5,200",Sculptures
Visual Quest,53.3,53.3,12.7,Betty McGeehan,United States,"$2,010",Sculptures
Nature,25,75,37,Francesca Dalla Benetta,Mexico,"$6,550",Sculptures
Verdure,121.9,101.6,5.1,Swapna Namboodiri,Qatar,"$4,750",Sculptures
"Diagonal Scribble Mirror Wall Sculpture, Yellow",96.5,120.7,1.3,Ryan Coleman,United States,"$4,500",Sculptures
"""MRIYA""",27,45,25,Elena Kraft,Germany,"$2,710",Sculptures
Morning - Sculpture,100,100,0.3,NYWA ART PROJECT,,"$4,070",Sculptures
Dancer (Star woman),38,178,38,Michele Rizzi,Italy,"$8,910",Sculptures
pi x 5s (50792),43.2,58.4,7.6,Yvette Kaiser Smith,United States,"$2,570",Sculptures
L 73  (taaltralies),110,93,20,Juliet Vles,Switzerland,"$4,350",Sculptures
AMARA (Tabletop Version),20,92,20,Michael James Talbot,United Kingdom,"$23,750",Sculptures
Interactive mobile 0213 position A,82,107.7,3.5,Manuel Izquierdo,Spain,"$3,450",Sculptures
Two birds,8.5,13,9,Eustaquio Carrasco,Spain,"$1,480",Sculptures
Sea Angel Fish,30,50,14,Andrzej Szymczyk,United Kingdom,"$5,350",Sculptures
'Harbour' wall sculpture,19.5,72,13.5,Nick Moran,United Kingdom,"$2,240",Sculptures
Balancing mummy (yellow-green),20,15,6,Frans Muhren,Netherlands,"$1,360",Sculptures
Windfall,45,66,37,Paul Stein,South Africa,"$4,240",Sculptures
